LOC;SURF;CHAMB;SCHAMB;SDB;SSDB;PARK;PLAGE;UNIV
559;30;1;7;0.75;2;0;4;4
577;31;1;8;1;3;1;4;6
717;32;1;12;1.5;5;2;3;8
680;33;2;13;1;3;1;1;9
642;34;2;14;1;4;1;8;11
751;33;2;18;1;4;2;4;6
770;33;2;19;1.5;5;2;6;6
898;39;2;26;2;6;1;4;8
955;39;2;26;2;7;2;5;5
974;41;2;27;2;8;2;5;6
837;33;3;22;1;3;2;3;9
850;36;3;23;1;3;2;1;12
798;37;3;24;1.5;5;2;9;11
863;41;3;27;1.5;6;2;9;12
980;44;3;30;2;7;2;9;1
1066;45;3;33;2;7;2;4;8
1132;48;3;37;2;6;2;4;4
1205;51;3;38;2.5;8;2;3;8
1220;55;3;39;2.5;7;2;8;3
615;33;1;7;1;2;1;1;11
540;34;1;7;1;3;0;9;0
664;33;1;8;1;3;1;0;9
611;36;1;8;1.5;4;2;11;1
664;37;1;9;1.5;4;2;9;1
622;36;1;11;1.5;5;1;9;3
760;39;1;13;1.5;6;2;6;8
